"Temperature (C)","Pression (mBar)","Altitude (m)"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","188"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","188"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","191"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","192"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","188"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","188"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","191"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","191"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","191"
"23","991","190"
"23","991","191"
"23","991","191"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","191"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","191"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","188"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","188"
"23","991","188"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","190"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","190"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","188"
"23","991","189"
"23","991","189"
"23","991","188"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","188"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","189"
"23","991","188"
"23","991","189"
